player_id,player_display_name,position,season,week,season_type,game_id,team,opponent_team,completions,attempts,passing_yards,passing_tds,passing_interceptions,sacks_suffered,sack_yards_lost,carries,rushing_yards,rushing_tds,rushing_first_downs,rushing_fumbles_lost,receptions,targets,receiving_yards,receiving_tds,receiving_first_downs,receiving_fumbles_lost,fg_made,fg_att,fg_long,fg_made_0_19,fg_made_20_29,fg_made_30_39,fg_made_40_49,fg_made_50_59,fg_made_60_,pat_made,pat_att,pt_att,pt_yards,pt_net_yards,pt_long,pt_inside_20
00-0000003,Abdul-Karim al-Jabbar,RB,1999,1,REG,1999_01_MIA_DEN,MIA,DEN,0,0,0,0,0,0,0,16,60,1,4,0,1,1,7,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0
00-0000007,Rabih Abdullah,RB,1999,1,REG,1999_01_NYG_TB,TB,NYG,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0
00-0000104,Troy Aikman,QB,1999,1,REG,1999_01_DAL_WAS,DAL,WAS,28,49,362,5,3,1,-7,2,4,0,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0
00-0000145,Derrick Alexander,WR,1999,1,REG,1999_01_KC_CHI,KC,CHI,0,0,0,0,0,0,0,0,0,0,0,0,6,10,154,1,4,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0
00-0000166,Stephen Alexander,TE,1999,1,REG,1999_01_DAL_WAS,WAS,DAL,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,0,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0
00-0000232,Terry Allen,RB,1999,1,REG,1999_01_NE_NYJ,NE,NYJ,0,0,0,0,0,0,0,15,54,1,3,0,1,1,-5,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0
00-0000242,John Allred,TE,1999,1,REG,1999_01_KC_CHI,CHI,KC,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0
00-0000251,Mike Alstott,FB,1999,1,REG,1999_01_NYG_TB,TB,NYG,0,0,0,0,0,0,0,9,12,0,1,0,2,3,25,0,2,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0
00-0000279,Kimble Anders,RB,1999,1,REG,1999_01_KC_CHI,KC,CHI,0,0,0,0,0,0,0,10,39,0,2,0,2,5,14,0,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0
00-0000282,Morten Andersen,K,1999,1,REG,1999_01_MIN_ATL,ATL,MIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,0,0,0,0,0,0,2,2,0,0,0,,0
00-0000313,Gary Anderson,K,1999,1,REG,1999_01_MIN_ATL,MIN,ATL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,36,0,0,1,0,0,0,2,2,0,0,0,,0
00-0000316,Jamal Anderson,RB,1999,1,REG,1999_01_MIN_ATL,ATL,MIN,0,0,0,0,0,0,0,16,50,0,1,0,2,2,34,0,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0
00-0000339,Richie Anderson,FB,1999,1,REG,1999_01_NE_NYJ,NYJ,NE,0,0,0,0,0,0,0,1,16,0,1,0,1,1,27,1,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0
00-0000387,Reidel Anthony,WR,1999,1,REG,1999_01_NYG_TB,TB,NYG,0,0,0,0,0,0,0,0,0,0,0,0,2,4,10,0,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0
00-0000400,Leo Araguz,P,1999,1,REG,1999_01_OAK_GB,LV,GB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,5,208,148,55,1
00-0000541,John Avery,RB,1999,1,REG,1999_01_MIA_DEN,MIA,DEN,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0
00-0000721,Tavian Banks,RB,1999,1,REG,1999_01_SF_JAX,JAX,SF,0,0,0,0,0,0,0,2,-2,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0
00-0000745,Tiki Barber,RB,1999,1,REG,1999_01_NYG_TB,NYG,TB,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0
00-0000754,Bryan Barker,P,1999,1,REG,1999_01_SF_JAX,JAX,SF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,5,217,179,64,1
00-0000765,Reggie Barlow,WR,1999,1,REG,1999_01_SF_JAX,JAX,SF,0,0,0,0,0,0,0,0,0,0,0,0,2,3,41,0,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0
00-0000811,Tommy Barnhardt,P,1999,1,REG,1999_01_CAR_NO,NO,CAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,10,362,340,45,1
00-0000838,Brent Bartholomew,P,1999,1,REG,1999_01_MIA_DEN,MIA,DEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,4,174,151,47,1
00-0000865,Charlie Batch,QB,1999,1,REG,1999_01_DET_SEA,DET,SEA,16,26,216,3,1,5,-14,3,-3,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0
00-0000871,Mario Bates,RB,1999,1,REG,1999_01_ARI_PHI,ARI,PHI,0,0,0,0,0,0,0,4,6,1,2,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0
00-0000872,Michael Bates,WR,1999,1,REG,1999_01_CAR_NO,CAR,NO,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0
00-0000911,Fred Baxter,TE,1999,1,REG,1999_01_NE_NYJ,NYJ,NE,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7,1,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0
00-0001103,Edgar Bennett,RB,1999,1,REG,1999_01_KC_CHI,CHI,KC,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0
00-0001112,Sean Bennett,RB,1999,1,REG,1999_01_NYG_TB,NYG,TB,0,0,0,0,0,0,0,13,24,0,1,0,1,2,7,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0
00-0001157,Mitch Berger,P,1999,1,REG,1999_01_MIN_ATL,MIN,ATL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,3,121,101,46,1
